,감정 기반 퀘스트,감정,퀘스트,난이도
15,감정 일기 1줄 쓰기,감사,감정 일기 1줄 쓰기,상
20,창문 열고 환기시키기,감사,창문 열고 환기시키기,중
63,이불 정리,감사,이불 정리,중
69,바닥에 발바닥 붙이고 앉기,감사,바닥에 발바닥 붙이고 앉기,중
4,내가 좋아하는 것 1개 떠올리기,감사,내가 좋아하는 것 1개 떠올리기,하
24,“괜찮아”라고 속으로 말해보기,감사,“괜찮아”라고 속으로 말해보기,하
27,하늘 올려다보기,감사,하늘 올려다보기,하
40,손 씻고 물 감각 느끼기,감사,손 씻고 물 감각 느끼기,하
51,거울 보고 미소 짓기,감사,거울 보고 미소 짓기,하
62,5초 동안 멍 때리기,감사,5초 동안 멍 때리기,하
66,심호흡 3번 하기,감사,심호흡 3번 하기,하
91,물 한 컵 마시기,감사,물 한 컵 마시기,하
32,5분 산책하기,기쁨,5분 산책하기,상
55,‘지금 여기에 있음’을 상기하기,기쁨,‘지금 여기에 있음’을 상기하기,상
88,좋아하는 노래 듣기,기쁨,좋아하는 노래 듣기,상
9,창문 열고 환기시키기,기쁨,창문 열고 환기시키기,중
30,타이머 맞추고 3분 집중,기쁨,타이머 맞추고 3분 집중,중
58,지금 있는 자리 정리정돈,기쁨,지금 있는 자리 정리정돈,중
74,바닥에 발바닥 붙이고 앉기,기쁨,바닥에 발바닥 붙이고 앉기,중
77,이불 정리,기쁨,이불 정리,중
86,스트레칭 1분 하기,기쁨,스트레칭 1분 하기,중
93,핸드폰 홈 화면 비우기,기쁨,핸드폰 홈 화면 비우기,중
5,물 한 컵 마시기,기쁨,물 한 컵 마시기,하
8,“괜찮아”라고 속으로 말해보기,기쁨,“괜찮아”라고 속으로 말해보기,하
22,심호흡 3번 하기,기쁨,심호흡 3번 하기,하
28,거울 보고 미소 짓기,기쁨,거울 보고 미소 짓기,하
50,내가 좋아하는 것 1개 떠올리기,기쁨,내가 좋아하는 것 1개 떠올리기,하
72,하늘 올려다보기,기쁨,하늘 올려다보기,하
99,손 씻고 물 감각 느끼기,기쁨,손 씻고 물 감각 느끼기,하
54, 좋아하는 노래 듣기,무기력,좋아하는 노래 듣기,상
37, 바닥에 발바닥 붙이고 앉기,무기력,바닥에 발바닥 붙이고 앉기,중
56, 창문 열고 환기시키기,무기력,창문 열고 환기시키기,중
84, 타이머 맞추고 3분 집중,무기력,타이머 맞추고 3분 집중,중
21, 손 씻고 물 감각 느끼기,무기력,손 씻고 물 감각 느끼기,하
25, 내가 좋아하는 것 1개 떠올리기,무기력,내가 좋아하는 것 1개 떠올리기,하
29, 하늘 올려다보기,무기력,하늘 올려다보기,하
